percentage,low-Choice,median-Choice,high-Choice,low-Entry,median-Entry,high-Entry,low-Exit,median-Exit,high-Exit,low-Region,median-Region,high-Region,low-State,median-State,high-State,low-Statechart,median-Statechart,high-Statechart,low-Transition,median-Transition,high-Transition
0.0,0.11818181818181818,0.13725490196078433,0.15384615384615385,0.02830188679245283,0.03669724770642202,0.061855670103092786,0.0,0.0,0.0,0.029411764705882353,0.04,0.06315789473684211,0.13186813186813187,0.14893617021276595,0.17592592592592593,0.009708737864077669,0.01020408163265306,0.010752688172043012,0.5816326530612245,0.616822429906542,0.6451612903225806
0.01,0.11818181818181818,0.13725490196078433,0.15384615384615385,0.02830188679245283,0.03669724770642202,0.061855670103092786,0.0,0.0,0.0,0.029411764705882353,0.04,0.06315789473684211,0.13186813186813187,0.14893617021276595,0.17592592592592593,0.009708737864077669,0.01020408163265306,0.010752688172043012,0.5816326530612245,0.616822429906542,0.6451612903225806
0.02,0.11827956989247312,0.13829787234042554,0.15384615384615385,0.02830188679245283,0.03669724770642202,0.0625,0.0,0.0,0.0,0.029411764705882353,0.04,0.06382978723404255,0.1320754716981132,0.14893617021276595,0.17592592592592593,0.009708737864077669,0.01020408163265306,0.010752688172043012,0.5816326530612245,0.616822429906542,0.6451612903225806
0.03,0.11827956989247312,0.13829787234042554,0.15454545454545454,0.02830188679245283,0.03669724770642202,0.0625,0.0,0.0,0.0,0.029411764705882353,0.04,0.06382978723404255,0.1320754716981132,0.14953271028037382,0.17592592592592593,0.009708737864077669,0.01020408163265306,0.010752688172043012,0.5816326530612245,0.6161616161616161,0.6451612903225806
0.04,0.11827956989247312,0.13829787234042554,0.1553398058252427,0.02830188679245283,0.03669724770642202,0.0625,0.0,0.0,0.0,0.029411764705882353,0.04,0.06382978723404255,0.1326530612244898,0.15,0.17592592592592593,0.009708737864077669,0.010309278350515464,0.010752688172043012,0.5816326530612245,0.6153846153846154,0.6451612903225806
0.05,0.11827956989247312,0.13829787234042554,0.15555555555555556,0.02830188679245283,0.03669724770642202,0.0625,0.0,0.0,0.0,0.0297029702970297,0.04,0.06382978723404255,0.13333333333333333,0.15,0.17592592592592593,0.009708737864077669,0.010309278350515464,0.010752688172043012,0.580952380952381,0.6153846153846154,0.6448598130841121
0.06,0.11827956989247312,0.13829787234042554,0.15555555555555556,0.02857142857142857,0.03669724770642202,0.0625,0.0,0.0,0.0,0.0297029702970297,0.04,0.06382978723404255,0.13333333333333333,0.15,0.17647058823529413,0.009708737864077669,0.010309278350515464,0.010752688172043012,0.58,0.6145833333333334,0.6444444444444445
0.07,0.1188118811881188,0.13861386138613863,0.15555555555555556,0.02857142857142857,0.037037037037037035,0.0625,0.0,0.0,0.0,0.0297029702970297,0.04,0.06382978723404255,0.13333333333333333,0.15053763440860216,0.17708333333333334,0.009708737864077669,0.010309278350515464,0.010752688172043012,0.5789473684210527,0.6145833333333334,0.6435643564356436
0.08,0.1188118811881188,0.13861386138613863,0.15555555555555556,0.02857142857142857,0.037037037037037035,0.0625,0.0,0.0,0.0,0.03,0.04040404040404041,0.06422018348623854,0.13333333333333333,0.15053763440860216,0.17757009345794392,0.009708737864077669,0.010309278350515464,0.010869565217391304,0.5773195876288659,0.6129032258064516,0.6421052631578947
0.09,0.11926605504587157,0.13978494623655913,0.1568627450980392,0.02857142857142857,0.037037037037037035,0.0625,0.0,0.0,0.0,0.03,0.04040404040404041,0.06451612903225806,0.13402061855670103,0.15151515151515152,0.17757009345794392,0.00980392156862745,0.010416666666666666,0.010869565217391304,0.5769230769230769,0.6116504854368932,0.6415094339622641
0.1,0.11956521739130435,0.13978494623655913,0.15730337078651685,0.028846153846153848,0.037037037037037035,0.06315789473684211,0.0,0.0,0.0,0.03,0.04040404040404041,0.06451612903225806,0.1348314606741573,0.15151515151515152,0.1782178217821782,0.00980392156862745,0.010416666666666666,0.010869565217391304,0.5747126436781609,0.6111111111111112,0.6407766990291263
0.11,0.12,0.14,0.15730337078651685,0.028846153846153848,0.037037037037037035,0.06315789473684211,0.0,0.0,0.0,0.030303030303030304,0.04081632653061224,0.06481481481481481,0.1348314606741573,0.15217391304347827,0.17894736842105263,0.00980392156862745,0.010416666666666666,0.01098901098901099,0.5742574257425742,0.6095238095238096,0.6391752577319587
0.12,0.12,0.14130434782608695,0.15841584158415842,0.028846153846153848,0.037383177570093455,0.06315789473684211,0.0,0.0,0.0,0.030303030303030304,0.04081632653061224,0.06521739130434782,0.13541666666666666,0.15306122448979592,0.1792452830188679,0.009900990099009901,0.010526315789473684,0.01098901098901099,0.5728155339805825,0.6082474226804123,0.6382978723404256
0.13,0.12087912087912088,0.14130434782608695,0.1590909090909091,0.028846153846153848,0.037383177570093455,0.06382978723404255,0.0,0.0,0.0,0.030303030303030304,0.04081632653061224,0.06521739130434782,0.13592233009708737,0.15306122448979592,0.1797752808988764,0.009900990099009901,0.010526315789473684,0.01098901098901099,0.57,0.6067415730337079,0.6372549019607843
0.14,0.12121212121212122,0.1414141414141414,0.1590909090909091,0.02912621359223301,0.037383177570093455,0.06382978723404255,0.0,0.0,0.0,0.030612244897959183,0.041237113402061855,0.06593406593406594,0.13636363636363635,0.15384615384615385,0.18085106382978725,0.01,0.010526315789473684,0.011111111111111112,0.5686274509803921,0.6043956043956044,0.6354166666666666
0.15,0.12222222222222222,0.14285714285714285,0.16091954022988506,0.02912621359223301,0.037383177570093455,0.06382978723404255,0.0,0.0,0.0,0.030612244897959183,0.041237113402061855,0.06593406593406594,0.1368421052631579,0.15463917525773196,0.18095238095238095,0.01,0.010638297872340425,0.011111111111111112,0.5670103092783505,0.6039603960396039,0.6336633663366337
0.16,0.12244897959183673,0.14285714285714285,0.16091954022988506,0.02912621359223301,0.037383177570093455,0.06451612903225806,0.0,0.0,0.0,0.030927835051546393,0.041666666666666664,0.0660377358490566,0.13793103448275862,0.1553398058252427,0.18181818181818182,0.010101010101010102,0.010638297872340425,0.011111111111111112,0.5652173913043478,0.6020408163265306,0.632183908045977
0.17,0.12264150943396226,0.14432989690721648,0.1619047619047619,0.029411764705882353,0.03614457831325301,0.06451612903225806,0.0,0.0,0.0,0.030927835051546393,0.041666666666666664,0.06666666666666667,0.13793103448275862,0.15555555555555556,0.18269230769230768,0.010101010101010102,0.010752688172043012,0.011235955056179775,0.5632183908045977,0.6,0.63
0.18,0.12359550561797752,0.14444444444444443,0.16279069767441862,0.029411764705882353,0.03614457831325301,0.06451612903225806,0.0,0.0,0.0,0.03125,0.042105263157894736,0.0673076923076923,0.13861386138613863,0.1568627450980392,0.1836734693877551,0.01020408163265306,0.010752688172043012,0.011235955056179775,0.5612244897959183,0.5978260869565217,0.6285714285714286
0.19,0.12371134020618557,0.14583333333333334,0.16346153846153846,0.029411764705882353,0.03614457831325301,0.06451612903225806,0.0,0.0,0.0,0.03125,0.042105263157894736,0.06741573033707865,0.13953488372093023,0.15730337078651685,0.18446601941747573,0.01020408163265306,0.010869565217391304,0.011363636363636364,0.5591397849462365,0.5955056179775281,0.6263736263736264
0.2,0.125,0.14606741573033707,0.16470588235294117,0.029411764705882353,0.03614457831325301,0.06451612903225806,0.0,0.0,0.0,0.031578947368421054,0.0425531914893617,0.06796116504854369,0.14,0.15841584158415842,0.18556701030927836,0.010309278350515464,0.010869565217391304,0.011363636363636364,0.5567010309278351,0.5934065934065934,0.6237623762376238
0.21,0.125,0.14736842105263157,0.16666666666666666,0.029411764705882353,0.03614457831325301,0.06521739130434782,0.0,0.0,0.0,0.031914893617021274,0.0425531914893617,0.06818181818181818,0.14130434782608695,0.1590909090909091,0.18627450980392157,0.010309278350515464,0.01098901098901099,0.011494252873563218,0.5543478260869565,0.5913978494623656,0.6224489795918368
0.22,0.12631578947368421,0.14772727272727273,0.16666666666666666,0.029411764705882353,0.036585365853658534,0.06521739130434782,0.0,0.0,0.0,0.031914893617021274,0.043010752688172046,0.06862745098039216,0.1414141414141414,0.16,0.1875,0.010416666666666666,0.01098901098901099,0.011627906976744186,0.5517241379310345,0.5888888888888889,0.62
0.23,0.12643678160919541,0.14942528735632185,0.16842105263157894,0.029411764705882353,0.036585365853658534,0.06521739130434782,0.0,0.0,0.0,0.03225806451612903,0.043010752688172046,0.06930693069306931,0.14285714285714285,0.16091954022988506,0.18823529411764706,0.010526315789473684,0.011111111111111112,0.011627906976744186,0.5487804878048781,0.5862068965517241,0.6179775280898876
0.24,0.1276595744680851,0.15053763440860216,0.1686746987951807,0.02531645569620253,0.036585365853658534,0.06593406593406594,0.0,0.0,0.0,0.03225806451612903,0.043478260869565216,0.06976744186046512,0.14285714285714285,0.16279069767441862,0.19,0.010526315789473684,0.011235955056179775,0.011764705882352941,0.5454545454545454,0.5842696629213483,0.6153846153846154
0.25,0.12903225806451613,0.1511627906976744,0.17073170731707318,0.025,0.037037037037037035,0.06593406593406594,0.0,0.0,0.0,0.03260869565217391,0.04395604395604396,0.07058823529411765,0.14457831325301204,0.16304347826086957,0.19101123595505617,0.010638297872340425,0.011235955056179775,0.011764705882352941,0.5425531914893617,0.5813953488372093,0.6129032258064516
0.26,0.12941176470588237,0.15217391304347827,0.17204301075268819,0.025,0.037037037037037035,0.06593406593406594,0.0,0.0,0.0,0.03296703296703297,0.04395604395604396,0.07058823529411765,0.14583333333333334,0.16470588235294117,0.1927710843373494,0.010752688172043012,0.011363636363636364,0.011904761904761904,0.5402298850574713,0.5783132530120482,0.6111111111111112
0.27,0.13043478260869565,0.15384615384615385,0.1728395061728395,0.025,0.0375,0.06593406593406594,0.0,0.0,0.0,0.03296703296703297,0.044444444444444446,0.07142857142857142,0.14634146341463414,0.16494845360824742,0.1935483870967742,0.010752688172043012,0.011494252873563218,0.012048192771084338,0.5375,0.5757575757575758,0.6082474226804123
0.28,0.13186813186813187,0.15476190476190477,0.1744186046511628,0.025,0.0375,0.06593406593406594,0.0,0.0,0.0,0.03333333333333333,0.0449438202247191,0.07142857142857142,0.14772727272727273,0.16666666666666666,0.19540229885057472,0.010869565217391304,0.011494252873563218,0.012048192771084338,0.5340909090909091,0.5730337078651685,0.6049382716049383
0.29,0.13253012048192772,0.15584415584415584,0.17582417582417584,0.02531645569620253,0.0379746835443038,0.06593406593406594,0.0,0.0,0.0,0.033707865168539325,0.0449438202247191,0.07228915662650602,0.14814814814814814,0.16842105263157894,0.1958762886597938,0.01098901098901099,0.011627906976744186,0.012195121951219513,0.5301204819277109,0.569620253164557,0.6024096385542169
0.3,0.13333333333333333,0.15730337078651685,0.17721518987341772,0.02531645569620253,0.0379746835443038,0.06593406593406594,0.0,0.0,0.0,0.03409090909090909,0.045454545454545456,0.07317073170731707,0.15,0.1686746987951807,0.1978021978021978,0.011111111111111112,0.011764705882352941,0.012345679012345678,0.5274725274725275,0.5662650602409639,0.6
0.31,0.13414634146341464,0.15853658536585366,0.17857142857142858,0.02531645569620253,0.038461538461538464,0.06666666666666667,0.0,0.0,0.0,0.03409090909090909,0.04597701149425287,0.07368421052631578,0.1511627906976744,0.17045454545454544,0.2,0.011111111111111112,0.011904761904761904,0.012345679012345678,0.5238095238095238,0.5632183908045977,0.5957446808510638
0.32,0.13541666666666666,0.16049382716049382,0.1797752808988764,0.02564102564102564,0.038461538461538464,0.06666666666666667,0.0,0.0,0.0,0.034482758620689655,0.046511627906976744,0.07446808510638298,0.1518987341772152,0.17204301075268819,0.2,0.011235955056179775,0.011904761904761904,0.0125,0.5189873417721519,0.5595238095238095,0.5930232558139535
0.33,0.13636363636363635,0.16091954022988506,0.18181818181818182,0.02564102564102564,0.03896103896103896,0.06666666666666667,0.0,0.0,0.0,0.03488372093023256,0.046511627906976744,0.075,0.15384615384615385,0.1728395061728395,0.20238095238095238,0.011363636363636364,0.012048192771084338,0.012658227848101266,0.5172413793103449,0.5568181818181818,0.5897435897435898
0.34,0.1375,0.16279069767441862,0.1839080459770115,0.025974025974025976,0.03896103896103896,0.06666666666666667,0.0,0.0,0.0,0.03529411764705882,0.047058823529411764,0.0759493670886076,0.15476190476190477,0.1744186046511628,0.20454545454545456,0.011494252873563218,0.012195121951219513,0.01282051282051282,0.5121951219512195,0.5526315789473685,0.5862068965517241
0.35,0.13924050632911392,0.16455696202531644,0.18421052631578946,0.025974025974025976,0.039473684210526314,0.06666666666666667,0.0,0.0,0.0,0.03571428571428571,0.047619047619047616,0.07692307692307693,0.15584415584415584,0.17567567567567569,0.20512820512820512,0.011627906976744186,0.012345679012345678,0.01282051282051282,0.5068493150684932,0.5494505494505495,0.5833333333333334
0.36,0.13953488372093023,0.16666666666666666,0.18666666666666668,0.02631578947368421,0.04,0.06666666666666667,0.0,0.0,0.0,0.03571428571428571,0.04819277108433735,0.07777777777777778,0.15789473684210525,0.17721518987341772,0.2073170731707317,0.011764705882352941,0.0125,0.012987012987012988,0.5058823529411764,0.5454545454545454,0.5789473684210527
0.37,0.14102564102564102,0.16666666666666666,0.1891891891891892,0.02631578947368421,0.04,0.06666666666666667,0.0,0.0,0.0,0.03614457831325301,0.04878048780487805,0.07792207792207792,0.15853658536585366,0.17857142857142858,0.20930232558139536,0.011904761904761904,0.0125,0.013157894736842105,0.5,0.5405405405405406,0.5753424657534246
0.38,0.14285714285714285,0.16883116883116883,0.189873417721519,0.02666666666666667,0.04054054054054054,0.06666666666666667,0.0,0.0,0.0,0.036585365853658534,0.04938271604938271,0.07894736842105263,0.16049382716049382,0.18055555555555555,0.2111111111111111,0.011904761904761904,0.012658227848101266,0.013333333333333334,0.4945054945054945,0.5375,0.5714285714285714
0.39,0.14285714285714285,0.17073170731707318,0.1917808219178082,0.02666666666666667,0.0410958904109589,0.06666666666666667,0.0,0.0,0.0,0.037037037037037035,0.05,0.08,0.16216216216216217,0.18181818181818182,0.2125,0.012048192771084338,0.01282051282051282,0.013513513513513514,0.49333333333333335,0.5333333333333333,0.5675675675675675
0.4,0.14457831325301204,0.17142857142857143,0.19444444444444445,0.02702702702702703,0.0410958904109589,0.06666666666666667,0.0,0.0,0.0,0.0375,0.05063291139240506,0.08108108108108109,0.16279069767441862,0.1839080459770115,0.21518987341772153,0.012195121951219513,0.012987012987012988,0.0136986301369863,0.48717948717948717,0.5285714285714286,0.5633802816901409
0.41,0.14634146341463414,0.17333333333333334,0.1951219512195122,0.02702702702702703,0.041666666666666664,0.06666666666666667,0.0,0.0,0.0,0.0379746835443038,0.05063291139240506,0.0821917808219178,0.16455696202531644,0.18571428571428572,0.21686746987951808,0.012345679012345678,0.013157894736842105,0.0136986301369863,0.4827586206896552,0.525,0.56
0.42,0.14666666666666667,0.175,0.19736842105263158,0.0273972602739726,0.041666666666666664,0.06666666666666667,0.0,0.0,0.0,0.038461538461538464,0.05128205128205128,0.08333333333333333,0.16666666666666666,0.1875,0.2191780821917808,0.0125,0.013333333333333334,0.013888888888888888,0.4794520547945205,0.5205479452054794,0.5555555555555556
0.43,0.14864864864864866,0.17721518987341772,0.2,0.0273972602739726,0.04225352112676056,0.06756756756756757,0.0,0.0,0.0,0.03896103896103896,0.05194805194805195,0.08333333333333333,0.16883116883116883,0.1891891891891892,0.22077922077922077,0.012658227848101266,0.013513513513513514,0.014084507042253521,0.47368421052631576,0.5142857142857142,0.5512820512820513
0.44,0.15,0.1780821917808219,0.20270270270270271,0.027777777777777776,0.04285714285714286,0.06756756756756757,0.0,0.0,0.0,0.039473684210526314,0.05263157894736842,0.08450704225352113,0.16901408450704225,0.19117647058823528,0.2236842105263158,0.01282051282051282,0.0136986301369863,0.014285714285714285,0.46875,0.5125,0.5466666666666666
0.45,0.1506849315068493,0.18055555555555555,0.20512820512820512,0.027777777777777776,0.04285714285714286,0.06756756756756757,0.0,0.0,0.0,0.04,0.05333333333333334,0.08571428571428572,0.17142857142857143,0.19402985074626866,0.22535211267605634,0.012987012987012988,0.013888888888888888,0.014492753623188406,0.463768115942029,0.5068493150684932,0.5421686746987951
